"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"","Alex Petrovic","FLA","D","26","1992-03-03","Edmonton","AB","CAN","CAN","76","206","2010","FLA","2","6","36"
"","Alex Pietrangelo","STL","D","28","1990-01-18","King City","ON","CAN","CAN","75","210","2008","STL","1","4","4"
"","Alex Tuch","MIN","R","22","1996-05-10","Syracuse","NY","USA","USA","76","222","2014","MIN","1","18","18"
"","Alexander Burmistrov","ARI, WPG","C","26","1991-10-21","Kazan","","RUS","RUS","73","180","2010","ATL","1","8","8"
"","Alexander Edler","VAN","D","32","1986-04-21","Ostersund","","SWE","SWE","75","214","2004","VAN","3","26","91"
"","Alexander Nylander","BUF","R","20","1998-03-02","Calgary","AB","CAN","CAN","73","192","2016","BUF","1","8","8"
"","Alexander Radulov","MTL","R","32","1986-07-05","Nizhny Tagil","","RUS","RUS","73","201","2004","NSH","1","15","15"
"","Alexander Steen","STL","L","34","1984-03-01","Winnipeg","MB","CAN","SWE","72","211","2002","TOR","1","24","24"
"","Alexander Wennberg","CBJ","C","23","1994-09-22","Stockholm","","SWE","SWE","74","196","2013","CBJ","1","14","14"
"","Alexandre Burrows","OTT, VAN","L","37","1981-04-11","Pincourt","QC","CAN","CAN","73","197","-","-","-","-","-"
"","Alexandre Carrier","NSH","D","21","1996-10-08","Quebec City","QC","CAN","CAN","71","174","2015","NSH","4","24","115"
"","Alexandre Grenier","VAN","R","27","1991-09-05","Laval","QC","CAN","CAN","77","200","2011","VAN","3","29","90"
"","Alexei Emelin","MTL","D","32","1986-04-25","Togliatti","","RUS","RUS","74","218","2004","MTL","3","19","84"
"","Alexey Marchenko","DET, TOR","D","26","1992-01-02","Moscow","","RUS","RUS","75","210","2011","DET","7","24","205"
"","Anders Lee","NYI","C, L","28","1990-07-03","Edina","MN","USA","USA","75","231","2009","NYI","6","1","152"
"","Andre Burakovsky","WSH","L","23","1995-02-09","Klagenfurt","","AUT","SWE","75","201","2013","WSH","1","23","23"
"","Andreas Athanasiou","DET","C","24","1994-08-06","London","ON","CAN","CAN","74","188","2012","DET","4","19","110"
"","Andreas Englund","OTT","D","22","1996-01-21","Stockholm","","SWE","SWE","75","189","2014","OTT","2","10","40"
"","Andreas Martinsen","COL, MTL","L","28","1990-06-13","Bærum","","NOR","NOR","75","229","-","-","-","-","-"
"","Andrei Markov","MTL","D","39","1978-12-20","Voskresensk","","RUS","RUS","72","200","1998","MTL","6","17","162"
"","Andrej Nestrasil","CAR","C","27","1991-02-22","Prague","","CZE","CZE","75","200","2009","DET","3","14","75"
"","Andrej Sekera","EDM","D","32","1986-06-08","Bojnice","","SVK","SVK","72","200","2004","BUF","3","6","71"
"","Andrej Sustr","T.B","D","27","1990-11-29","Plzen","","CZE","CZE","79","220","-","-","-","-","-"
"","Andrew Cogliano","ANA","C, L","31","1987-06-14","Toronto","ON","CAN","CAN","70","177","2005","EDM","1","25","25"
"","Andrew Copp","WPG","C","24","1994-07-08","Ann Arbor","MI","USA","USA","73","206","2013","WPG","4","13","104"
"","Andrew Desjardins","CHI","C, L","32","1986-07-27","Lively","ON","CAN","CAN","73","195","-","-","-","-","-"
"","Andrew Ladd","NYI","L","32","1985-12-12","Maple Ridge","BC","CAN","CAN","75","192","2004","CAR","1","4","4"
"","Andrew MacDonald","PHI","D","32","1986-09-07","Judique","NS","CAN","CAN","73","204","2006","NYI","6","7","160"
"","Andrew Poturalski","CAR","C","24","1994-01-14","Williamsville","NY","USA","USA","70","180","-","-","-","-","-"
"","Andrew Shaw","MTL","C","27","1991-07-20","Belleville","ON","CAN","CAN","71","182","2011","CHI","5","18","139"
"","Andy Andreoff","L.A","C, L","27","1991-05-17","Pickering","ON","CAN","CAN","73","203","2011","L.A","3","19","80"
"","Andy Greene","N.J","D","35","1982-10-30","Trenton","MI","USA","USA","71","190","-","-","-","-","-"
"","Anthony Beauvillier","NYI","C, L","21","1997-06-08","Sorel-Tracy","QC","CAN","CAN","71","182","2015","NYI","1","28","28"
"","Anthony Bitetto","NSH","D","28","1990-07-15","Island Park","NY","USA","USA","73","210","2010","NSH","6","18","168"
"","Anthony DeAngelo","ARI","D","22","1995-10-24","Sewell","NJ","USA","USA","71","181","2014","T.B","1","19","19"
"","Anthony Duclair","ARI","L","23","1995-08-26","Pointe-Claire","QC","CAN","CAN","71","191","2013","NYR","3","19","80"
"","Anthony Mantha","DET","R","24","1994-09-16","Longueuil","QC","CAN","CAN","77","225","2013","DET","1","20","20"
"","Antoine Roussel","DAL","L","28","1989-11-21","Roubaix","","FRA","FRA","71","195","-","-","-","-","-"
"","Antoine Vermette","ANA","C","36","1982-07-20","St. Agapit","QC","CAN","CAN","73","197","2000","OTT","2","25","55"
"","Anton Blidh","BOS","L","23","1995-03-14","Molnlycke","","SWE","SWE","72","201","2013","BOS","6","29","180"
"","Anton Lander","EDM","C","27","1991-04-24","Sundsvall","","SWE","SWE","72","184","2009","EDM","2","10","40"
"","Anton Lindholm","COL","D","23","1994-11-29","Skellefteå","","SWE","SWE","71","191","2014","COL","5","24","144"
"","Anton Rodin","VAN","R","27","1990-11-21","Stockholm","","SWE","SWE","71","185","2009","VAN","2","23","53"
"","Anton Slepyshev","EDM","L","24","1994-05-13","Penza","","RUS","RUS","74","221","2013","EDM","3","27","88"
"","Anton Stralman","T.B","D","32","1986-08-01","Tibro","","SWE","SWE","71","190","2005","TOR","7","22","216"
"","Anze Kopitar","L.A","C","31","1987-08-24","Jesenice","","SVN","SVN","75","224","2005","L.A","1","11","11"
"","Artem Anisimov","CHI","C","30","1988-05-24","Yaroslavl","","RUS","RUS","76","198","2006","NYR","2","24","54"
"","Artemi Panarin","CHI","C, L","26","1991-10-30","Korkino","","RUS","RUS","71","168","-","-","-","-","-"
"","Artturi Lehkonen","MTL","L","23","1995-07-04","Piikkio","","FIN","FIN","72","183","2013","MTL","2","25","55"
"","Austin Czarnik","BOS","C","25","1992-12-12","Detroit","MI","USA","USA","69","160","-","-","-","-","-"
"","Austin Watson","NSH","L","26","1992-01-13","Ann Arbor","MI","USA","USA","76","204","2010","NSH","1","18","18"
"","Auston Matthews","TOR","C","21","1997-09-17","San Ramon","CA","USA","USA","75","216","2016","TOR","1","1","1"
"","Barclay Goodrow","S.J","R","25","1993-02-26","Toronto","ON","CAN","CAN","74","210","-","-","-","-","-"
"","Beau Bennett","N.J","R","26","1991-11-27","Gardena","CA","USA","USA","74","195","2010","PIT","1","20","20"
"","Ben Chiarot","WPG","D","27","1991-05-09","Hamilton","ON","CAN","CAN","75","219","2009","ATL","4","29","120"
"","Ben Harpur","OTT","D","23","1995-01-12","Hamilton","ON","CAN","CAN","78","222","2013","OTT","4","17","108"
"","Ben Hutton","VAN","D","25","1993-04-20","Brockville","ON","CAN","CAN","74","207","2012","VAN","5","26","147"
"","Ben Lovejoy","N.J","D","34","1984-02-20","Concord","NH","USA","USA","73","205","-","-","-","-","-"
"","Ben Smith","COL, TOR","R","30","1988-07-11","Winston-Salem","NC","USA","USA","71","203","2008","CHI","6","18","169"
"","Ben Street","DET","C","31","1987-02-13","Coquitlam","BC","CAN","CAN","71","200","-","-","-","-","-"
"","Ben Thomson","N.J","L","25","1993-01-16","Brampton","ON","CAN","CAN","75","205","2012","N.J","4","5","96"
"","Benoit Pouliot","EDM","L","31","1986-09-29","Alfred","ON","CAN","CAN","75","200","2005","MIN","1","4","4"
"","Blake Coleman","N.J","C","26","1991-11-28","Plano","TX","USA","USA","71","200","2011","N.J","3","14","75"
"","Blake Comeau","COL","L","32","1986-02-18","Meadow Lake","SK","CAN","CAN","73","202","2004","NYI","2","17","47"
"","Blake Pietila","N.J","L","25","1993-02-20","Milford","MI","USA","USA","71","200","2011","N.J","5","8","129"
"","Blake Speers","N.J","C","21","1997-01-02","Sault Ste. Marie","ON","CAN","CAN","71","185","2015","N.J","3","6","67"
"","Blake Wheeler","WPG","R","32","1986-08-31","Plymouth","MN","USA","USA","77","225","2004","PHX","1","5","5"
"","Bo Horvat","VAN","C","23","1995-04-05","London","ON","CAN","CAN","72","223","2013","VAN","1","9","9"
"","Bobby Farnham","MTL","R","29","1989-01-21","North Andover","MA","USA","USA","70","190","-","-","-","-","-"
"","Bobby Ryan","OTT","R","31","1987-03-17","Cherry Hill","NJ","USA","USA","74","204","2005","ANA","1","2","2"
"","Boone Jenner","CBJ","C","25","1993-06-15","Dorchester","ON","CAN","CAN","74","206","2011","CBJ","2","7","37"
"","Borna Rendulic","VAN","R","26","1992-03-25","Zagreb","","HRV","HRV","74","200","-","-","-","-","-"
"","Boyd Gordon","PHI","C","34","1983-10-19","Unity","SK","CAN","CAN","72","200","2002","WSH","1","17","17"
"","Bracken Kearns","NYI","C","37","1981-05-12","North Vancouver","BC","CAN","CAN","72","200","-","-","-","-","-"
"","Brad Hunt","NSH, STL","D","30","1988-08-24","Maple Ridge","BC","CAN","CAN","69","187","-","-","-","-","-"
"","Brad Marchand","BOS","C, L","30","1988-05-11","Halifax","NS","CAN","CAN","69","181","2006","BOS","3","8","71"
"","Brad Richardson","ARI","R","33","1985-02-04","Belleville","ON","CAN","CAN","72","190","2003","COL","5","27","163"
"","Brady Austin","BUF","D","25","1993-06-16","Bobcaygeon","ON","CAN","CAN","76","230","2012","BUF","7","12","193"
"","Brady Skjei","NYR","D","24","1994-03-26","Lakeville","MN","USA","USA","75","211","2012","NYR","1","28","28"
"","Brandon Carlo","BOS","D","21","1996-11-26","Colorado Springs","CO","USA","USA","77","208","2015","BOS","2","7","37"
"","Brandon Davidson","EDM, MTL","D","27","1991-08-21","Taber","AB","CAN","CAN","74","208","2010","EDM","6","12","162"
"","Brandon Dubinsky","CBJ","C","32","1986-04-29","Anchorage","AK","USA","USA","74","205","2004","NYR","2","30","60"
"","Brandon Manning","PHI","D","28","1990-06-04","Prince George","BC","CAN","CAN","73","205","-","-","-","-","-"
"","Brandon Montour","ANA","D","24","1994-04-11","Brantford","ON","CAN","CAN","72","192","2014","ANA","2","25","55"
"","Brandon Pirri","NYR","C, R","27","1991-04-10","Toronto","ON","CAN","CAN","72","186","2009","CHI","2","29","59"
"","Brandon Saad","CBJ","L","25","1992-10-27","Pittsburgh","PA","USA","USA","73","206","2011","CHI","2","13","43"
"","Brandon Sutter","VAN","C","29","1989-02-14","Huntington","NY","USA","CAN","75","191","2007","CAR","1","11","11"
"","Brandon Tanev","WPG","L","26","1991-12-31","Toronto","ON","CAN","CAN","72","180","-","-","-","-","-"
"","Brayden McNabb","L.A","D","27","1991-01-21","Davidson","SK","CAN","CAN","76","212","2009","BUF","3","5","66"
"","Brayden Point","T.B","C","22","1996-03-13","Calgary","AB","CAN","CAN","70","166","2014","T.B","3","19","79"
"","Brayden Schenn","PHI","C","27","1991-08-22","Saskatoon","SK","CAN","CAN","73","200","2009","L.A","1","5","5"
"","Braydon Coburn","T.B","D","33","1985-02-27","Shaunavon","SK","CAN","CAN","77","223","2003","ATL","1","8","8"
"","Brendan Gallagher","MTL","R","26","1992-05-06","Edmonton","AB","CAN","CAN","69","181","2010","MTL","5","27","147"
"","Brendan Gaunce","VAN","C","24","1994-03-25","Sudbury","ON","CAN","CAN","74","217","2012","VAN","1","26","26"
"","Brendan Guhle","BUF","D","21","1997-07-29","Edmonton","AB","CAN","CAN","74","196","2015","BUF","2","21","51"
"","Brendan Perlini","ARI","L","22","1996-04-27","Guildford","","GBR","GBR","75","211","2014","ARI","1","12","12"
"","Brendan Smith","DET, NYR","D","29","1989-02-08","Mimico","ON","CAN","CAN","74","211","2007","DET","1","27","27"
"","Brenden Dillon","S.J","D","27","1990-11-13","New Westminster","BC","CAN","CAN","76","225","-","-","-","-","-"
"","Brent Burns","S.J","D","33","1985-03-09","Barrie","ON","CAN","CAN","77","230","2003","MIN","1","20","20"
"","Brent Seabrook","CHI","D","33","1985-04-20","Richmond","BC","CAN","CAN","75","220","2003","CHI","1","14","14"
"","Brett Connolly","WSH","R","26","1992-05-02","Campbell River","BC","CAN","CAN","75","195","2010","T.B","1","6","6"
"","Brett Kulak","CGY","D","24","1994-01-06","Edmonton","AB","CAN","CAN","74","187","2012","CGY","4","14","105"
"","Brett Lernout","MTL","D","22","1995-09-24","Winnipeg","MB","CAN","CAN","76","214","2014","MTL","3","13","73"
"","Brett Pesce","CAR","D","23","1994-11-15","Tarrytown","NY","USA","USA","75","200","2013","CAR","3","5","66"
"","Brett Ritchie","DAL","R","25","1993-07-01","Orangeville","ON","CAN","CAN","75","217","2011","DAL","2","14","44"
"","Brian Boyle","T.B, TOR","C","33","1984-12-18","Hingham","MA","USA","USA","78","245","2003","L.A","1","26","26"
"","Brian Campbell","CHI","D","39","1979-05-23","Strathroy","ON","CAN","CAN","70","192","1997","BUF","6","22","156"
"","Brian Dumoulin","PIT","D","27","1991-09-06","Biddeford","ME","USA","USA","76","207","2009","CAR","2","21","51"
"","Brian Flynn","MTL","C","30","1988-07-26","Lynnfield","MA","USA","USA","73","183","-","-","-","-","-"
"","Brian Gionta","BUF","R","39","1979-01-18","Rochester","NY","USA","USA","67","178","1998","N.J","3","24","82"
"","Brian Lashoff","DET","D","28","1990-07-16","Albany","NY","USA","USA","75","219","-","-","-","-","-"
"","Brian Strait","WPG","D","30","1988-01-04","Waltham","MA","USA","USA","73","206","2006","PIT","3","2","65"
"","Brock Boeser","VAN","R","21","1997-02-25","Burnsville","MN","USA","USA","73","191","2015","VAN","1","23","23"
"","Brock McGinn","CAR","L","24","1994-02-02","Fergus","ON","CAN","CAN","72","185","2012","CAR","2","17","47"
"","Brock Nelson","NYI","C","26","1991-10-15","Warroad","MN","USA","USA","75","212","2010","NYI","1","30","30"
"","Brooks Orpik","WSH","D","37","1980-09-26","San Francisco","CA","USA","USA","75","217","2000","PIT","1","18","18"
"","Bryan Bickell","CAR","L","32","1986-03-09","Bowmanville","ON","CAN","CAN","76","223","2004","CHI","2","11","41"
"","Bryan Little","WPG","C","30","1987-11-12","Edmonton","AB","CAN","CAN","72","191","2006","ATL","1","12","12"
"","Bryan Rust","PIT","R","26","1992-05-11","Pontiac","MI","USA","USA","71","192","2010","PIT","3","20","80"
"","Buddy Robinson","OTT","R","26","1991-09-30","Bellmawr","NJ","USA","USA","78","232","-","-","-","-","-"
"","Byron Froese","T.B, TOR","C","27","1991-03-12","Winkler","MB","CAN","CAN","73","202","2009","CHI","4","28","119"
"","C.J. Smith","BUF","L","23","1994-12-01","Des Moines","IA","USA","USA","71","181","-","-","-","-","-"
"","Cal Clutterbuck","NYI","R","30","1987-11-18","Welland","ON","CAN","CAN","71","216","2006","MIN","3","9","72"
"","Cal O'Reilly","BUF","C","31","1986-09-30","Toronto","ON","CAN","CAN","72","188","2005","NSH","5","25","150"
"","Calle Jarnkrok","NSH","C","26","1991-09-25","Gävle","","SWE","SWE","71","186","2010","DET","2","21","51"
"","Calvin de Haan","NYI","D","27","1991-05-09","Carp","ON","CAN","CAN","73","198","2009","NYI","1","12","12"
"","Cam Atkinson","CBJ","R","29","1989-06-05","Riverside","CT","USA","USA","68","179","2008","CBJ","6","6","157"
"","Cam Fowler","ANA","D","26","1991-12-05","Windsor","ON","CAN","USA","73","215","2010","ANA","1","12","12"
"","Cameron Gaunce","PIT","D","28","1990-03-19","Sudbury","ON","CAN","CAN","74","204","2008","COL","2","20","50"
"","Carl Gunnarsson","STL","D","31","1986-11-09","Orebro","","SWE","SWE","74","198","2007","TOR","7","13","194"
"","Carl Hagelin","PIT","L","30","1988-08-23","Sodertalje","","SWE","SWE","71","186","2007","NYR","6","17","168"
"","Carl Soderberg","COL","C","32","1985-10-12","Malmö","","SWE","SWE","75","210","2004","STL","2","19","49"
"","Carter Rowney","PIT","R","29","1989-05-10","Grand Prairie","AB","CAN","CAN","74","200","-","-","-","-","-"
"","Casey Bailey","OTT","R","26","1991-10-27","Anchorage","AK","USA","USA","75","195","-","-","-","-","-"
"","Casey Cizikas","NYI","C","27","1991-02-27","Toronto","ON","CAN","CAN","71","200","2009","NYI","4","1","92"
"","Casey Nelson","BUF","D","26","1992-07-18","Wisconsin Rapids","WI","USA","USA","73","185","-","-","-","-","-"
"","Cedric Paquette","T.B","C","25","1993-08-13","Gaspe","QC","CAN","CAN","73","198","2012","T.B","4","10","101"
"","Chad Ruhwedel","PIT","D","28","1990-05-07","San Diego","CA","USA","USA","71","191","-","-","-","-","-"
"","Chandler Stephenson","WSH","C","24","1994-04-22","Saskatoon","SK","CAN","CAN","72","203","2012","WSH","3","16","77"
"","Charles Hudon","MTL","L","24","1994-06-23","Alma","QC","CAN","CAN","70","188","2012","MTL","5","1","122"
"","Charlie Coyle","MIN","C","26","1992-03-02","E. Weymouth","MA","USA","USA","75","221","2010","S.J","1","28","28"
"","Chris Butler","STL","D","31","1986-10-27","St. Louis","MO","USA","USA","73","196","2005","BUF","4","5","96"
"","Chris Kelly","OTT","C","37","1980-11-11","Toronto","ON","CAN","CAN","72","190","1999","OTT","3","28","94"
"","Chris Kreider","NYR","C, L","27","1991-04-30","Boxford","MA","USA","USA","75","224","2009","NYR","1","19","19"
"","Chris Kunitz","PIT","L","38","1979-09-26","Regina","SK","CAN","CAN","72","195","-","-","-","-","-"
"","Chris Neil","OTT","R","39","1979-06-18","Flesherton","ON","CAN","CAN","73","209","1998","OTT","6","16","161"
"","Chris Stewart","MIN","R","30","1987-10-30","Toronto","ON","CAN","CAN","74","242","2006","COL","1","18","18"
"","Chris Terry","MTL","L","29","1989-04-07","Brampton","ON","CAN","CAN","70","191","2007","CAR","5","11","132"
"","Chris Thorburn","WPG","R","35","1983-06-03","Sault Ste. Marie","ON","CAN","CAN","75","235","2001","BUF","2","20","50"
"","Chris Tierney","S.J","C","24","1994-07-01","Keswick","ON","CAN","CAN","73","195","2012","S.J","2","25","55"
"","Chris VandeVelde","PHI","C","31","1987-03-15","Moorhead","MN","USA","USA","74","190","2005","EDM","4","6","97"
"","Chris Wagner","ANA","C, R","27","1991-05-27","Walpole","MA","USA","USA","72","198","2010","ANA","5","2","122"
"","Chris Wideman","OTT","D","28","1990-01-07","St. Louis","MO","USA","USA","70","180","2009","OTT","4","9","100"
"","Christian Dvorak","ARI","C, L","22","1996-02-02","Palos","IL","USA","USA","72","195","2014","ARI","2","28","58"
"","Christian Fischer","ARI","R","21","1997-04-15","Chicago","IL","USA","USA","74","214","2015","ARI","2","2","32"
"","Christian Folin","MIN","D","27","1991-02-09","Gothenburg","","SWE","SWE","75","204","-","-","-","-","-"
"","Christoph Bertschy","MIN","C","24","1994-04-05","Fribourg","","CHE","CHE","70","187","2012","MIN","6","7","158"
"","Christopher DiDomenico","OTT","C","29","1989-02-20","Toronto","ON","CAN","CAN","71","174","2007","TOR","6","13","164"
"","Christopher Tanev","VAN","D","28","1989-12-20","Toronto","ON","CAN","CAN","74","195","-","-","-","-","-"
"","Clarke MacArthur","OTT","L","33","1985-04-06","Lloydminster","AB","CAN","CAN","72","192","2003","BUF","3","6","74"
"","Claude Giroux","PHI","C, R","30","1988-01-12","Hearst","ON","CAN","CAN","71","185","2006","PHI","1","22","22"
"","Clayton Keller","ARI","C","20","1998-07-29","Chesterfield","MO","USA","USA","70","170","2016","ARI","1","7","7"
"","Clayton Stoner","ANA","D","33","1985-02-19","Port McNeill","BC","CAN","CAN","76","216","2004","MIN","3","14","79"
"","Cody Bass","NSH","C","31","1987-01-07","Owen sound","ON","CAN","CAN","72","205","2005","OTT","4","4","95"
"","Cody Ceci","OTT","D","24","1993-12-21","Ottawa","ON","CAN","CAN","74","207","2012","OTT","1","15","15"
"","Cody Eakin","DAL","C","27","1991-05-24","Winnipeg","MB","CAN","CAN","72","190","2009","WSH","3","24","85"
"","Cody Franson","BUF","D","31","1987-08-08","Sicamous","BC","CAN","CAN","77","224","2005","NSH","3","18","79"
"","Cody Goloubef","COL","D","28","1989-11-30","Mississauga","ON","CAN","CAN","73","200","2008","CBJ","2","7","37"
"","Cody McLeod","COL, NSH","L","34","1984-06-26","Binscarth","MB","CAN","CAN","74","210","-","-","-","-","-"
"","Cole Schneider","BUF","L","28","1990-08-26","Williamsville","NY","USA","USA","73","203","-","-","-","-","-"
"","Colin McDonald","PHI","R","33","1984-09-30","Wethersfield","CT","USA","USA","74","219","2003","EDM","2","21","51"
"","Colin Miller","BOS","D","25","1992-10-29","Sault Ste. Marie","ON","CAN","CAN","73","196","2012","L.A","5","30","151"
"","Colin White","OTT","C","21","1997-01-30","Boston","MA","USA","USA","72","183","2015","OTT","1","21","21"
"","Colin Wilson","NSH","C, L","28","1989-10-20","Greenwich","CT","USA","USA","73","221","2008","NSH","1","7","7"
"","Colton Parayko","STL","D","25","1993-05-12","St. Albert","AB","CAN","CAN","78","230","2012","STL","3","25","86"
"","Colton Sceviour","FLA","C","29","1989-04-20","Red Deer","AB","CAN","CAN","72","195","2007","DAL","4","21","112"
"","Colton Sissons","NSH","C","24","1993-11-05","North Vancouver","BC","CAN","CAN","73","200","2012","NSH","2","20","50"
"","Connor Brown","TOR","R","24","1994-01-14","Toronto","ON","CAN","CAN","72","185","2012","TOR","6","5","156"
"","Connor Carrick","TOR","D","24","1994-04-13","Orland Park","IL","USA","USA","70","192","2012","WSH","5","16","137"
"","Connor Jones","NYI","C","28","1990-08-16","Montrose","BC","CAN","CAN","69","182","-","-","-","-","-"
"","Connor McDavid","EDM","C","21","1997-01-13","Richmond Hill","ON","CAN","CAN","73","192","2015","EDM","1","1","1"
"","Connor Murphy","ARI","D","25","1993-03-26","Dublin","OH","USA","USA","76","212","2011","PHX","1","20","20"
"","Conor Sheary","PIT","L","26","1992-06-08","Winchester","MA","USA","USA","68","175","-","-","-","-","-"
"","Corey Perry","ANA","R","33","1985-05-16","Peterborough","ON","CAN","CAN","75","213","2003","ANA","1","28","28"
"","Corey Tropp","ANA","R","29","1989-07-25","Grosse Pointe Woods","MI","USA","USA","72","186","2007","BUF","3","28","89"
"","Cory Conacher","T.B","C","28","1989-12-14","Burlington","ON","CAN","CAN","68","180","-","-","-","-","-"
"","Craig Smith","NSH","C, R","29","1989-09-05","Madison","WI","USA","USA","73","208","2009","NSH","4","7","98"
"","Cristoval Nieves","NYR","C","24","1994-01-23","Syracuse","NY","USA","USA","75","212","2012","NYR","2","29","59"
"","Curtis Lazar","CGY, OTT","C","23","1995-02-02","Salmon Arm","BC","CAN","CAN","72","209","2013","OTT","1","17","17"
"","Curtis McKenzie","DAL","L","27","1991-02-22","Golden","BC","CAN","CAN","74","205","2009","DAL","6","8","159"
"","Dale Weise","PHI","R","30","1988-08-05","Winnipeg","MB","CAN","CAN","74","206","2008","NYR","4","20","111"
"","Dalton Prout","CBJ, N.J","D","28","1990-03-13","Kingsville","ON","CAN","CAN","75","230","2010","CBJ","6","4","154"
"","Damon Severson","N.J","D","24","1994-08-07","Melville","SK","CAN","CAN","74","205","2012","N.J","2","30","60"
"","Dan Girardi","NYR","D","34","1984-04-29","Welland","ON","CAN","CAN","73","212","-","-","-","-","-"
"","Dan Hamhuis","DAL","D","35","1982-12-13","Smithers","BC","CAN","CAN","73","204","2001","NSH","1","12","12"
"","Dan Renouf","DET","D","24","1994-06-01","Pickering","ON","CAN","CAN","74","205","-","-","-","-","-"
"","Daniel Carr","MTL","L","26","1991-11-01","Sherwood Park","AB","CAN","CAN","72","193","-","-","-","-","-"
"","Daniel O'Regan","S.J","C","24","1994-01-30","Berlin","","DEU","USA","70","185","2012","S.J","5","17","138"
"","Daniel Sedin","VAN","L","37","1980-09-26","Ornskoldsvik","","SWE","SWE","73","190","1999","VAN","1","2","2"
"","Daniel Winnik","WSH","L","33","1985-03-06","Toronto","ON","CAN","CAN","74","210","2004","PHX","9","7","265"
"","Danny DeKeyser","DET","D","28","1990-03-07","Detroit","MI","USA","USA","75","192","-","-","-","-","-"
"","Danton Heinen","BOS","C","23","1995-07-05","Langley","BC","CAN","CAN","73","185","2014","BOS","4","26","116"
"","Darnell Nurse","EDM","D","23","1995-02-04","Hamilton","ON","CAN","CAN","76","221","2013","EDM","1","7","7"
"","Darren Helm","DET","C","31","1987-01-21","St. Andrews","MB","CAN","CAN","72","196","2005","DET","5","7","132"
"","David Backes","BOS","R","34","1984-05-01","Minneapolis","MN","USA","USA","75","221","2003","STL","2","32","62"
"","David Desharnais","EDM, MTL","C","32","1986-09-14","Laurier-Station","QC","CAN","CAN","67","180","-","-","-","-","-"
"","David Krejci","BOS","C","32","1986-04-28","Sternberk","","CZE","CZE","72","188","2004","BOS","2","33","63"
"","David Pastrnak","BOS","R","22","1996-05-25","Havirov","","CZE","CZE","72","188","2014","BOS","1","25","25"
"","David Perron","STL","L","30","1988-05-28","Sherbrooke","QC","CAN","CAN","72","200","2007","STL","1","26","26"
